date,action,ticker,security,reason
2016-05-13,remove,SNDK,SanDisk,SNDK acquired by WDC[144]
2016-05-18,add,DLR,Digital Realty,TWC acquired by CHTR[143]
2016-05-18,remove,TWC,Time Warner Cable,TWC acquired by CHTR[143]
2016-05-23,add,LKQ,LKQ Corporation,ARG acquired by Air Liquide[142]
2016-05-23,remove,ARG,Airgas,ARG acquired by Air Liquide[142]
2016-05-31,add,AJG,Arthur J. Gallagher & Co.,CCE merging with European bottlers[141]
2016-05-31,remove,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[141]
2016-06-03,add,TDG,TransDigm Group,SHPG acquiring BXLT[140]
2016-06-03,remove,BXLT,Baxalta,SHPG acquiring BXLT[140]
2016-06-22,add,FBHS,Fortune Brands Home & Security,CVC acquired by Altice NV[139]
2016-06-22,remove,CVC,Cablevision Systems,CVC acquired by Altice NV[139]
